W</span>,120,115,42,100,.420,8,25,.320,28,34,.824,14,35,49,27,7,3,14,19,47,100,.470,10,27,.370,11,18,.611,14,40,54,21,7,6,18,29,
W,100,81,33,77,.429,8,20,.400,26,33,.788,9,35,44,21,14,2,15,21,29,83,.349,7,31,.226,16,19,.842,14,28,42,16,5,6,21,28,
W,109,100,35,79,.443,10,27,.370,29,38,.763,10,33,43,23,9,1,12,16,40,89,.449,9,32,.281,11,13,.846,14,35,49,21,7,3,16,26,
L,92,93,34,94,.362,5,28,.179,19,24,.792,12,31,43,21,16,5,17,15,39,85,.459,5,16,.313,10,11,.909,11,38,49,22,10,12,23,24,
L,93,106,34,90,.378,4,16,.250,21,27,.778,10,30,40,22,6,3,19,19,42,84,.500,8,20,.400,14,20,.700,9,40,49,23,12,11,21,29,
W,116,108,41,89,.461,8,20,.400,26,30,.867,16,28,44,26,8,6,14,15,44,90,.489,10,22,.455,10,15,.667,14,26,40,21,9,7,17,21,
W,113,90,44,90,.489,10,20,.500,15,19,.789,12,41,53,29,14,5,21,15,35,92,.380,10,26,.385,10,18,.556,16,30,46,24,8,8,18,16,
L,107,109,40,96,.417,11,29,.379,16,18,.889,16,29,45,27,7,2,12,25,44,80,.550,4,16,.250,17,28,.607,6,37,43,30,9,2,14,17,
W,124,95,45,82,.549,11,22,.500,23,26,.885,8,41,49,34,5,5,9,20,36,87,.414,5,16,.313,18,21,.857,10,27,37,18,4,1,11,18,
L,113,117,46,94,.489,6,22,.273,15,19,.789,11,31,42,22,10,2,16,22,47,97,.485,7,20,.350,16,21,.762,14,32,46,28,7,9,15,17,
W,106,88,40,94,.426,7,23,.304,19,22,.864,16,34,50,19,13,3,13,17,34,86,.395,5,18,.278,15,18,.833,15,35,50,14,6,8,21,21,
L,100,104,37,85,.435,10,28,.357,16,24,.667,12,30,42,22,6,4,13,17,41,85,.482,7,15,.467,15,15,1.000,7,34,41,31,10,5,11,24,
L,98,102,34,90,.378,5,22,.227,25,31,.806,10,35,45,24,10,2,14,17,40,81,.494,12,24,.500,10,16,.625,6,37,43,24,8,5,19,25,
W,111,81,40,97,.412,11,36,.306,20,23,.870,17,30,47,28,10,6,8,19,31,78,.397,5,16,.313,14,20,.700,10,37,47,7,5,2,20,18,
L,101,112,40,100,.400,8,26,.308,13,17,.765,18,26,44,17,13,5,10,13,41,79,.519,17,31,.548,13,16,.813,11,43,54,26,6,9,23,16,
L,84,98,29,88,.330,3,19,.158,23,28,.821,14,32,46,15,9,1,19,18,40,80,.500,8,15,.533,10,17,.588,7,38,45,19,13,5,20,24,
L,110,117,40,88,.455,5,20,.250,25,28,.893,15,31,46,19,5,3,16,20,45,88,.511,8,16,.500,19,25,.760,9,27,36,22,11,5,12,25,
W,112,106,40,79,.506,11,26,.423,21,30,.700,14,30,44,24,5,4,14,9,45,92,.489,7,24,.292,9,11,.818,13,24,37,29,9,4,11,26,
L,103,113,37,89,.416,9,29,.310,20,26,.769,15,31,46,22,12,2,12,14,49,87,.563,9,19,.474,6,9,.667,8,35,43,26,8,10,15,22,
L,82,103,24,82,.293,5,22,.227,29,39,.744,17,28,45,13,11,1,18,15,43,78,.551,4,18,.222,13,19,.684,7,37,44,23,11,8,20,28,
W,121,94,41,85,.482,11,24,.458,28,33,.848,14,32,46,31,12,0,12,16,39,83,.470,8,28,.286,8,16,.500,11,28,39,22,4,5,20,24,
W,106,99,37,96,.385,7,20,.350,25,29,.862,17,28,45,23,9,2,13,15,39,74,.527,9,20,.450,12,14,.857,5,32,37,22,7,7,26,25,
L,110,117,38,88,.432,11,23,.478,23,26,.885,10,31,41,22,9,4,12,12,48,87,.552,10,22,.455,11,13,.846,7,35,42,32,8,7,13,18,
W,101,93,35,79,.443,12,26,.462,19,25,.760,10,34,44,22,7,5,9,17,37,83,.446,5,15,.333,14,20,.700,13,34,47,17,5,2,9,20,
L,97,101,37,98,.378,8,29,.276,15,26,.577,19,32,51,22,6,0,7,20,38,86,.442,7,21,.333,18,23,.783,14,36,50,19,3,3,12,25,
W,120,109,46,93,.495,7,19,.368,21,26,.808,12,41,53,27,8,1,10,19,40,94,.426,14,40,.350,15,19,.789,10,35,45,19,5,4,13,27,
