W,108,95,33,78,.423,11,29,.379,31,36,.861,11,38,49,25,4,8,9,16,37,93,.398,7,20,.350,14,20,.700,18,37,55,26,6,1,11,22,
W,112,91,39,86,.453,13,33,.394,21,31,.677,11,35,46,26,9,8,17,20,31,88,.352,6,30,.200,23,29,.793,15,35,50,16,12,3,18,26,
W</span>,120,116,46,97,.474,7,29,.241,21,27,.778,16,29,45,24,14,1,13,23,45,96,.469,6,22,.273,20,27,.741,19,35,54,27,4,3,19,23,
L,103,105,40,81,.494,4,18,.222,19,23,.826,6,32,38,22,6,9,13,24,40,95,.421,10,24,.417,15,22,.682,16,33,49,27,8,4,13,22,
L</span>,112,116,49,110,.445,8,20,.400,6,12,.500,12,36,48,24,11,5,5,22,42,96,.438,13,36,.361,19,22,.864,15,45,60,29,2,2,16,10,
W,98,90,35,77,.455,3,14,.214,25,32,.781,7,34,41,20,14,4,13,16,32,76,.421,7,19,.368,19,21,.905,8,37,45,24,9,4,19,27,
L,88,107,31,85,.365,7,20,.350,19,26,.731,14,34,48,17,8,4,20,23,41,85,.482,12,31,.387,13,22,.591,10,35,45,26,17,9,16,20,
W,112,85,47,85,.553,11,34,.324,7,10,.700,8,36,44,36,9,3,13,20,29,76,.382,6,21,.286,21,22,.955,7,31,38,19,7,1,16,13,
W,119,112,40,82,.488,9,23,.391,30,38,.789,13,33,46,21,5,4,10,16,45,88,.511,12,28,.429,10,14,.714,11,28,39,29,8,1,11,25,
L,92,116,37,79,.468,3,15,.200,15,21,.714,7,26,33,21,6,3,15,24,50,90,.556,4,18,.222,12,16,.750,11,31,42,34,5,4,12,20,
W,101,81,35,83,.422,11,31,.355,20,24,.833,13,38,51,30,9,10,14,17,30,84,.357,7,19,.368,14,21,.667,15,35,50,15,8,1,17,20,
W,111,105,36,79,.456,11,30,.367,28,39,.718,7,30,37,26,11,4,13,23,39,83,.470,5,17,.294,22,30,.733,10,35,45,25,7,1,18,30,
W,123,87,45,92,.489,7,23,.304,26,35,.743,13,43,56,24,16,13,8,23,29,84,.345,4,16,.250,25,28,.893,11,36,47,18,2,1,21,26,
W,129,127,42,83,.506,17,34,.500,28,37,.757,11,27,38,34,6,4,12,17,51,97,.526,12,25,.480,13,21,.619,17,30,47,37,7,2,9,24,
W,109,95,33,78,.423,8,30,.267,35,42,.833,8,36,44,17,9,4,11,27,29,83,.349,7,23,.304,30,36,.833,20,35,55,20,2,1,18,32,
